mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S3,A0NVTRV,30,HAT-PH_d_09-t_1000-mi_10000,23.16,17.0,317.87,0.0009,2347.01
S3,A0NVTRV,30,HAT-PH_d_09-t_1000-mi_11000,24.22,17.0,356.12,0.001,2355.14
S3,AOYM4KG,30,HAT-PH_d_05-t_900-mi_10000,28.95,29.0,137.63,0.0009,935.19
S3,AOYM4KG,30,HAT-PH_d_05-t_900-mi_11000,27.65,25.5,142.59,0.001,958.26
S3,AOYM4KG,30,HAT-PH_d_05-t_1000-mi_10000,29.76,29.0,133.29,0.0009,937.69
S3,AOYM4KG,30,HAT-PH_d_05-t_1000-mi_11000,29.05,25.0,150.7,0.001,962.23
S3,AOYM4KG,30,HAT-PH_d_08-t_900-mi_10000,30.16,27.0,133.91,0.0009,938.61
S3,AOYM4KG,30,HAT-PH_d_08-t_900-mi_11000,29.12,26.0,127.78,0.0009,949.25
S3,AOYM4KG,30,HAT-PH_d_08-t_1000-mi_10000,30.36,27.0,141.88,0.001,936.18
S3,AOYM4KG,30,HAT-PH_d_08-t_1000-mi_11000,29.55,29.0,115.09,0.0008,956.16
S3,AOYM4KG,30,HAT-PH_d_09-t_900-mi_10000,29.88,29.0,117.62,0.0008,936.1
S3,AOYM4KG,30,HAT-PH_d_09-t_900-mi_11000,29.94,28.0,136.88,0.0009,953.22
S3,AOYM4KG,30,HAT-PH_d_09-t_1000-mi_10000,29.66,27.0,112.39,0.0008,935.56
S3,AOYM4KG,30,HAT-PH_d_09-t_1000-mi_11000,30.28,28.0,150.67,0.001,949.12
S3,AQC0L71,30,HAT-PH_d_05-t_900-mi_10000,23.64,16.0,369.86,0.0007,3292.81
S3,AQC0L71,30,HAT-PH_d_05-t_900-mi_11000,21.78,16.0,442.01,0.0009,3290.79
S3,AQC0L71,30,HAT-PH_d_05-t_1000-mi_10000,25.55,19.0,464.07,0.0009,3270.84
S3,AQC0L71,30,HAT-PH_d_05-t_1000-mi_11000,21.65,16.0,397.25,0.0008,3261.2
S3,AQC0L71,30,HAT-PH_d_08-t_900-mi_10000,27.03,19.0,431.42,0.0008,3266.81
S3,AQC0L71,30,HAT-PH_d_08-t_900-mi_11000,19.83,15.0,428.55,0.0008,3274.48
S3,AQC0L71,30,HAT-PH_d_08-t_1000-mi_10000,27.14,19.0,471.48,0.0009,3250.43
S3,AQC0L71,30,HAT-PH_d_08-t_1000-mi_11000,20.1,15.0,485.6,0.0009,3257.95
S3,AQC0L71,30,HAT-PH_d_09-t_900-mi_10000,23.57,16.0,443.7,0.0009,3264.05
S3,AQC0L71,30,HAT-PH_d_09-t_900-mi_11000,20.3,15.0,413.6,0.0008,3282.02
S3,AQC0L71,30,HAT-PH_d_09-t_1000-mi_10000,20.09,15.0,465.09,0.0009,3260.03
S3,AQC0L71,30,HAT-PH_d_09-t_1000-mi_11000,23.59,16.0,403.56,0.0008,3240.26
S3,A0NVTRV,30,Mean,21.79,20.0,78.73,0.0002,1762.48
S3,A0NVTRV,30,HT,17.54,16.0,174.23,0.0005,2725.75
S3,AOYM4KG,30,Mean,36.66,43.0,30.94,0.0002,694.51
S3,AOYM4KG,30,HT,29.65,31.0,70.36,0.0005,1090.65
S3,AQC0L71,30,Mean,19.14,22.0,109.24,0.0002,2444.65
S3,AQC0L71,30,HT,14.65,12.0,244.66,0.0005,3767.45
